ano,posicao,escola,pontos,link,letra
1968,1,"Estação Primeira de Mangueira Samba, festa de um povo L A",125.0,https://galeriadosamba.com.br/escolas-de-samba/estacao-primeira-de-mangueira/1968/,"Quando uma luz divinal
Iluminava a imaginação
De um escritor genial
Tudo era maravilha
Tudo era sedução
Quanta alegria
E fascinação
Relembro
Aquele mundo encantado
Fantasiado de dourado
Oh doce ilusão
Sublime relicário de criança
Que ainda guardo como herança
No meu coração 
Glórias a este grande sonhador
Que o mundo inteiro deslumbrou
Com suas obras imortais
Vejam quanta riqueza exuberante
Na escritura emocionante
Com seus contos triunfais
Os seus personagens fascinantes
Nas estórias tão vibrantes 
Da literatura infantil
Enriquecem o cenário do Brasil
E assim ...
Neste cenário de real valor
Eis o mundo encantado
Que Monteiro Lobato criou"
1968,2,"Império Serrano Pernambuco, Leão do Norte L A",119.0,https://galeriadosamba.com.br/escolas-de-samba/imperio-serrano/1968/,"Esta admirável página
Que o passado deixou
Enaltece a nossa raça
Disse um famoso escritor
Que Maurício de Nassau
Na verdade foi um invasor 
Muito genial
Glória a Vidal de Negreiros
E aos seus companheiros
Que na luta contra os holandeses
Em defesa ao Leão do Norte
Arriscaram suas vidas
Preferiram a morte
Na trégua dos Guararapes
Teatro triste da insurreição
Houve estiagem, coragem, abnegação
Pernambuco hoje
É orgulho da federação
Evocando os Palmares
Terra de Bamboriki
Ainda ouço pelos ares
O retumbante grito do Zumbi
Lá rá rá rá rá rá
Lá rá rá rá rá rá rá"
1968,3,"Acadêmicos do Salgueiro Dona Beja, a feiticeira de Araxá L A",112.0,https://galeriadosamba.com.br/escolas-de-samba/academicos-do-salgueiro/1968/,"Certa jovem linda, divinal
Seduziu com seus encantos de menina 
O Ouvidor Real
Levada a trocar de roupagem
Numa nova linhagem 
Ela foi debutar
Na Corte, fascinou toda a nobreza 
Com seu porte de princesa 
Com seu jeito singular
Ana Jacinta, rainha das flores
Dos grandes amores
Dos salões reais
Com seus encantos e sua influência
Supera as intrigas 
Os preconceitos sociais
Era tão linda, tão meiga, tão bela
Ninguém mais formosa que ela 
No reino daquele ouvidor
Ela com seu feitiço inteligente 
Cria um reinado diferente 
Na corte de Araxá
E nos devaneios das festas de Jatobá
Mas antes, com seu trejeito feiticeiro 
Traz o Triângulo Mineiro 
De volta a Minas Gerais
Até o fim da vida
Dona Beja ouviu falar
Viu seu nome figurar
Na história de Araxá"
1968,4,Portela O tronco do ipê L A,103.0,https://galeriadosamba.com.br/escolas-de-samba/portela/1968/,"Apresentamos neste carnaval
Esta estória exuberante 
Cheia de trechos sensacionais
De episódios eletrizantes
 
Escrita por José de Alencar
Grande vulto de valor excepcional
O orgulho da literatura nacional
 
Tronco do Ipê
É o ponto culminante desta estória
Onde o pai Benedito fazia feitiçaria
Reunia os escravos no local
E lá fazia um batuque infernal !
 
Muito importante e também de emoção
Foi quando Alice caiu no boqueirão
Mário num esforço sobrenatural
Consumou a sua salvação
 
Outro fato bem marcante
Foi a carta testamento do barão
E a passagem mais bela
Foi o casamento de Mário e Alice na capela
Ô ô ô
 
Oh! Que maravilha!
Na casa grande
Todos dançando a quadrilha"
1968,5,Unidos de Lucas História do negro no Brasil ou Sublime pergaminho L A,99.0,https://galeriadosamba.com.br/escolas-de-samba/unidos-de-lucas/1968/,"Quando o navio negreiro
Transportava os negros africanos
Para o rincão brasileiro
Iludidos com quinquilharias
Os negros não sabiam
Ser apenas sedução
Para serem armazenados
E vendidos como escravos
Na mais cruel traição
Formavam irmandades
Em grande união
Daí nasceram os festejos
Que alimentavam os desejos de libertação
Era grande o suplício
Pagavam com sacrifício
A insubordinação
E de repente uma lei surgiu
Que os filhos dos escravos
Não seriam mais escravos do Brasil
Mais tarde raiou a liberdade
Daqueles que completassem
Sessenta anos de idade
O sublime pergaminho
Libertação geral
A princesa chorou ao receber
A rosa de ouro papal
Uma chuva de flores cobriu o salão
E um negro jornalista
De joelhos beijou a sua mão
Uma voz na varanda do Paço ecoou)
Meu Deus, meu Deus)  BIS
Está extinta a escravidão)"
1968,6,Mocidade Independente de Padre Miguel Viagem pitoresca através do Brasil L A,82.0,https://galeriadosamba.com.br/escolas-de-samba/mocidade-independente-de-padre-miguel/1968/,"Ao rever a história
Que Maurício Rugendas deixou
Eu destaquei na memória
Essa página de glória
Muito importante e tão viril
Viagens Pitorescas
Através do Brasil
As nossas praias sem iguais
Interrompidas por rochedos colossais
E as matas verdejantes
Onde existiam vários animais
Rugendas observou essa beleza
Ao contemplar a natureza
Caminhando por esse Brasil afora
Entusiasmado Rugendas catalogou
As cenas tristes e alegres
Nos idos tempos do Brasil Imperial
Glórias...
A esta bela viagem sua
Pois existem até hoje em Munique
Lindos quadros retratados em pinturas
Ainda dentro do seu roteiro
Luta e lamentos de raça
Rugendas anotou
Com orgulho o nosso povo brasileiro
E a mulata
Com seu feitiço e beleza
Era disputada a peso de ouro
Pela mais alta nobreza
Eu revi na minha música a memória
Estas páginas de glória
Que Rugendas deixou
No lindo berço de sua história "
1968,7,Estácio de Sá Uma visita ao Museu Imperial L A,79.0,https://galeriadosamba.com.br/escolas-de-samba/estacio-de-sa/1968/,"Guardei a mais bela recordação
Promovida à inspiração ao ver
Uma obra monumental e neste samba,
Meu mensageiro feliz
Lembro a visita que fiz
Ao Museu Imperial e no conviver
De tanta beleza no requinte,
A riqueza, do majestoso cenário
Encerra passagem da nossa história
Todo o passado de glória
Deste exuberante relicário
Então, ergue sua voz o trovador
Para exaltar com muito amor
O rico manancial revive
Na singela melodia
O fausto da monarquia
Da família imperial relembro
As jóias maravilhosas,
Carruagens majestosas,
O manto e a coroa do imperador
Os leques simplesmente divinais,
Pratarias e cristais,
Figuras e esculturas
De real valor assim
Enfeitiçando a imensidão
Embalando na canção
Vai o feliz trovador
Lalará, lalará, lalalará"
1968,8,Unidos de Vila Isabel Quatro séculos de modas e costumes L A,76.0,https://galeriadosamba.com.br/escolas-de-samba/unidos-de-vila-isabel/1968/,"A Vila desce colorida
Para mostrar no carnaval
Quatro séculos de modas e costumes
O moderno e o tradicional
Negros, brancos, índios
Eis a miscigenação
Ditando moda, fixando os costumes
Os rituais e a tradição
E surgem tipos brasileiros
Saveiros e bateador
O carioca e o gaúcho
Jangadeiro e cantador
 
Lá vem o negro
Vejam as mucamas
Também vem com o branco
Elegantes damas
 
Desfilam modas do Rio
Costumes do norte e a dança do sul
Capoeiras, desafios
Frevos e maracatus
 
Laiaraiá, ô, laiaraiaá
Festa da menina-moça
Na tribo dos Carajás
Candomblés lá na Bahia
Onde baixam os orixás"
1968,9,Independentes do Leblon Modas e aspectos do Rio no século XVIII L A,60.0,https://galeriadosamba.com.br/escolas-de-samba/independentes-do-leblon/1968/,"Revivemos a história tão febril
Um passado deslumbrante
Cheio de encantos mil
Foi no século XVIII
Que o Rio de Janeiro
Deu um grandioso passo
Em sua propagação
Com a edificação
Do sublime relicário
Do mais alto gabarito
Capela do Rosário
E São Benedito
E daí a cidade cresceu para se tornar
Tradicional na era colonial
Rio das congadas, este belo ritual dava
Um colorido fascinante
Nesta terra colossal
E das barrocas as elegantes
E mais ricas cariocas
O povo alegre e hospitaleiro
Das mucamas e do velho sapateiro
Rio dos vice-reis
Das mais altas personalidades
E que muito trabalharam
Em prol do desenvolvimento da cidade
Construindo lindas obras imortais
Do Rio antigo que não volta nunca mais
A verdade é, que o lucro originário desta
Crescente evolução foi o ouro e o diamante
Que os bandeirantes descobriram no sertão"
1968,10,Império da Tijuca Exaltação a Cândido Portinari L A,52.0,https://galeriadosamba.com.br/escolas-de-samba/imperio-da-tijuca/1968/,"Verdes campos da minha terra
Florescem, para inspirar...
Livre canto da minha terra
Canto forte, para exaltar
Portinari!
Do azul celestial,
A beleza pictórica do mural
Com destemor,
Retratou, sem fantasia,
Nosso diário labor
Sonhos e sobrevivência
Nos cafezais, no algododeiro,
Na pocura eterna, o garimpeiro
Pintou, com poesia,
A força que no agreste se fazia.
Nosso chorar, nosso sorrir
Na tela e gigantescos murais...
Foi o primeiro a colorir
Nossos problemas sociais!
Sertão,
Grande inspirador!
Daquele que seria
O nosso maior pintor
Morro!
Também fostes retratado,
E o moleque esfarrapado,
Que vendia alguma coisa
No tabuleiro, para ganhar o pão,
Ele pintou com emoção.
E quando a ONU o convidou
Para o painel da Sala das Nações...
Deslumbrou, na cor,
O tema profundo
Guerra e Paz no mundo
Assegurando o seu lugar,
Além de nossos corações...
É imortal na história da pintura universal!"
